rec_id,season,year,month,hour,is_holiday,weekday,is_workingday,weather_condition,temp,atemp,humidity,windspeed,casual,registered,total_rent_count,temp_c,zona_suhu
1,Spring,2011,January,00:00,No,Saturday,No,Clear,0.24,0.2879,0.81,0.0,3,13,16,9.84,Dingin
2,Spring,2011,January,01:00,No,Saturday,No,Clear,0.22,0.2727,0.8,0.0,8,32,40,9.02,Dingin
3,Spring,2011,January,02:00,No,Saturday,No,Clear,0.22,0.2727,0.8,0.0,5,27,32,9.02,Dingin
4,Spring,2011,January,03:00,No,Saturday,No,Clear,0.24,0.2879,0.75,0.0,3,10,13,9.84,Dingin
5,Spring,2011,January,04:00,No,Saturday,No,Clear,0.24,0.2879,0.75,0.0,0,1,1,9.84,Dingin
6,Spring,2011,January,05:00,No,Saturday,No,Mist + Cloudy,0.24,0.2576,0.75,0.0896,0,1,1,9.84,Dingin
7,Spring,2011,January,06:00,No,Saturday,No,Clear,0.22,0.2727,0.8,0.0,2,0,2,9.02,Dingin
8,Spring,2011,January,07:00,No,Saturday,No,Clear,0.2,0.2576,0.86,0.0,1,2,3,8.200000000000001,Dingin
9,Spring,2011,January,08:00,No,Saturday,No,Clear,0.24,0.2879,0.75,0.0,1,7,8,9.84,Dingin
10,Spring,2011,January,09:00,No,Saturday,No,Clear,0.32,0.3485,0.76,0.0,8,6,14,13.120000000000001,Sejuk
11,Spring,2011,January,10:00,No,Saturday,No,Clear,0.38,0.3939,0.76,0.2537,12,24,36,15.58,Sejuk
12,Spring,2011,January,11:00,No,Saturday,No,Clear,0.36,0.3333,0.81,0.2836,26,30,56,14.76,Sejuk
13,Spring,2011,January,12:00,No,Saturday,No,Clear,0.42,0.4242,0.77,0.2836,29,55,84,17.22,Sejuk
14,Spring,2011,January,13:00,No,Saturday,No,Mist + Cloudy,0.46,0.4545,0.72,0.2985,47,47,94,18.86,Sejuk
15,Spring,2011,January,14:00,No,Saturday,No,Mist + Cloudy,0.46,0.4545,0.72,0.2836,35,71,106,18.86,Sejuk
16,Spring,2011,January,15:00,No,Saturday,No,Mist + Cloudy,0.44,0.4394,0.77,0.2985,40,70,110,18.04,Sejuk
17,Spring,2011,January,16:00,No,Saturday,No,Mist + Cloudy,0.42,0.4242,0.82,0.2985,41,52,93,17.22,Sejuk
18,Spring,2011,January,17:00,No,Saturday,No,Mist + Cloudy,0.44,0.4394,0.82,0.2836,15,52,67,18.04,Sejuk
19,Spring,2011,January,18:00,No,Saturday,No,Light Snow/Rain,0.42,0.4242,0.88,0.2537,9,26,35,17.22,Sejuk
20,Spring,2011,January,19:00,No,Saturday,No,Light Snow/Rain,0.42,0.4242,0.88,0.2537,6,31,37,17.22,Sejuk
21,Spring,2011,January,20:00,No,Saturday,No,Mist + Cloudy,0.4,0.4091,0.87,0.2537,11,25,36,16.400000000000002,Sejuk
22,Spring,2011,January,21:00,No,Saturday,No,Mist + Cloudy,0.4,0.4091,0.87,0.194,3,31,34,16.400000000000002,Sejuk
23,Spring,2011,January,22:00,No,Saturday,No,Mist + Cloudy,0.4,0.4091,0.94,0.2239,11,17,28,16.400000000000002,Sejuk
24,Spring,2011,January,23:00,No,Saturday,No,Mist + Cloudy,0.46,0.4545,0.88,0.2985,15,24,39,18.86,Sejuk
25,Spring,2011,January,00:00,No,Sunday,No,Mist + Cloudy,0.46,0.4545,0.88,0.2985,4,13,17,18.86,Sejuk
26,Spring,2011,January,01:00,No,Sunday,No,Mist + Cloudy,0.44,0.4394,0.94,0.2537,1,16,17,18.04,Sejuk
27,Spring,2011,January,02:00,No,Sunday,No,Mist + Cloudy,0.42,0.4242,1.0,0.2836,1,8,9,17.22,Sejuk
28,Spring,2011,January,03:00,No,Sunday,No,Mist + Cloudy,0.46,0.4545,0.94,0.194,2,4,6,18.86,Sejuk
29,Spring,2011,January,04:00,No,Sunday,No,Mist + Cloudy,0.46,0.4545,0.94,0.194,2,1,3,18.86,Sejuk
30,Spring,2011,January,06:00,No,Sunday,No,Light Snow/Rain,0.42,0.4242,0.77,0.2985,0,2,2,17.22,Sejuk
31,Spring,2011,January,07:00,No,Sunday,No,Mist + Cloudy,0.4,0.4091,0.76,0.194,0,1,1,16.400000000000002,Sejuk
32,Spring,2011,January,08:00,No,Sunday,No,Light Snow/Rain,0.4,0.4091,0.71,0.2239,0,8,8,16.400000000000002,Sejuk
33,Spring,2011,January,09:00,No,Sunday,No,Mist + Cloudy,0.38,0.3939,0.76,0.2239,1,19,20,15.58,Sejuk
34,Spring,2011,January,10:00,No,Sunday,No,Mist + Cloudy,0.36,0.3485,0.81,0.2239,7,46,53,14.76,Sejuk
35,Spring,2011,January,11:00,No,Sunday,No,Mist + Cloudy,0.36,0.3333,0.71,0.2537,16,54,70,14.76,Sejuk
36,Spring,2011,January,12:00,No,Sunday,No,Mist + Cloudy,0.36,0.3333,0.66,0.2985,20,73,93,14.76,Sejuk
37,Spring,2011,January,13:00,No,Sunday,No,Mist + Cloudy,0.36,0.3485,0.66,0.1343,11,64,75,14.76,Sejuk
38,Spring,2011,January,14:00,No,Sunday,No,Light Snow/Rain,0.36,0.3485,0.76,0.194,4,55,59,14.76,Sejuk
39,Spring,2011,January,15:00,No,Sunday,No,Light Snow/Rain,0.34,0.3333,0.81,0.1642,19,55,74,13.940000000000001,Sejuk
40,Spring,2011,January,16:00,No,Sunday,No,Light Snow/Rain,0.34,0.3333,0.71,0.1642,9,67,76,13.940000000000001,Sejuk
41,Spring,2011,January,17:00,No,Sunday,No,Clear,0.34,0.3333,0.57,0.194,7,58,65,13.940000000000001,Sejuk
42,Spring,2011,January,18:00,No,Sunday,No,Mist + Cloudy,0.36,0.3333,0.46,0.3284,10,43,53,14.76,Sejuk
43,Spring,2011,January,19:00,No,Sunday,No,Clear,0.32,0.2879,0.42,0.4478,1,29,30,13.120000000000001,Sejuk
44,Spring,2011,January,20:00,No,Sunday,No,Clear,0.3,0.2727,0.39,0.3582,5,17,22,12.299999999999999,Sejuk
45,Spring,2011,January,21:00,No,Sunday,No,Clear,0.26,0.2273,0.44,0.3284,11,20,31,10.66,Sejuk
46,Spring,2011,January,22:00,No,Sunday,No,Clear,0.24,0.2121,0.44,0.2985,0,9,9,9.84,Dingin
47,Spring,2011,January,23:00,No,Sunday,No,Clear,0.22,0.2273,0.47,0.1642,0,8,8,9.02,Dingin
48,Spring,2011,January,00:00,No,Monday,Yes,Clear,0.22,0.197,0.44,0.3582,0,5,5,9.02,Dingin
49,Spring,2011,January,01:00,No,Monday,Yes,Clear,0.2,0.1667,0.44,0.4179,0,2,2,8.200000000000001,Dingin
50,Spring,2011,January,04:00,No,Monday,Yes,Clear,0.16,0.1364,0.47,0.3881,0,1,1,6.5600000000000005,Dingin
51,Spring,2011,January,05:00,No,Monday,Yes,Clear,0.16,0.1364,0.47,0.2836,0,3,3,6.5600000000000005,Dingin
52,Spring,2011,January,06:00,No,Monday,Yes,Clear,0.14,0.1061,0.5,0.3881,0,30,30,5.74,Dingin
53,Spring,2011,January,07:00,No,Monday,Yes,Clear,0.14,0.1364,0.5,0.194,1,63,64,5.74,Dingin
54,Spring,2011,January,08:00,No,Monday,Yes,Clear,0.14,0.1212,0.5,0.2836,1,153,154,5.74,Dingin
55,Spring,2011,January,09:00,No,Monday,Yes,Clear,0.16,0.1364,0.43,0.3881,7,81,88,6.5600000000000005,Dingin
56,Spring,2011,January,10:00,No,Monday,Yes,Clear,0.18,0.1667,0.43,0.2537,11,33,44,7.38,Dingin
57,Spring,2011,January,11:00,No,Monday,Yes,Clear,0.2,0.1818,0.4,0.3284,10,41,51,8.200000000000001,Dingin
58,Spring,2011,January,12:00,No,Monday,Yes,Clear,0.22,0.2121,0.35,0.2985,13,48,61,9.02,Dingin
59,Spring,2011,January,13:00,No,Monday,Yes,Clear,0.24,0.2121,0.35,0.2836,8,53,61,9.84,Dingin
60,Spring,2011,January,14:00,No,Monday,Yes,Clear,0.26,0.2424,0.3,0.2836,11,66,77,10.66,Sejuk
61,Spring,2011,January,15:00,No,Monday,Yes,Clear,0.26,0.2424,0.3,0.2537,14,58,72,10.66,Sejuk
62,Spring,2011,January,16:00,No,Monday,Yes,Clear,0.26,0.2424,0.3,0.2537,9,67,76,10.66,Sejuk
63,Spring,2011,January,17:00,No,Monday,Yes,Clear,0.24,0.2273,0.3,0.2239,11,146,157,9.84,Dingin
64,Spring,2011,January,18:00,No,Monday,Yes,Clear,0.24,0.2576,0.32,0.1045,9,148,157,9.84,Dingin
65,Spring,2011,January,19:00,No,Monday,Yes,Clear,0.2,0.2576,0.47,0.0,8,102,110,8.200000000000001,Dingin
66,Spring,2011,January,20:00,No,Monday,Yes,Clear,0.2,0.2273,0.47,0.1045,3,49,52,8.200000000000001,Dingin
67,Spring,2011,January,21:00,No,Monday,Yes,Clear,0.18,0.197,0.64,0.1343,3,49,52,7.38,Dingin
68,Spring,2011,January,22:00,No,Monday,Yes,Clear,0.14,0.1515,0.69,0.1343,0,20,20,5.74,Dingin
69,Spring,2011,January,23:00,No,Monday,Yes,Clear,0.18,0.2121,0.55,0.1045,1,11,12,7.38,Dingin
70,Spring,2011,January,00:00,No,Tuesday,Yes,Clear,0.16,0.1818,0.55,0.1045,0,5,5,6.5600000000000005,Dingin
71,Spring,2011,January,01:00,No,Tuesday,Yes,Clear,0.16,0.1818,0.59,0.1045,0,2,2,6.5600000000000005,Dingin
72,Spring,2011,January,02:00,No,Tuesday,Yes,Clear,0.14,0.1515,0.63,0.1343,0,1,1,5.74,Dingin
73,Spring,2011,January,04:00,No,Tuesday,Yes,Clear,0.14,0.1818,0.63,0.0896,0,2,2,5.74,Dingin
74,Spring,2011,January,05:00,No,Tuesday,Yes,Clear,0.12,0.1515,0.68,0.1045,0,4,4,4.92,Dingin
